Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-07-31T23:36:23,2021-07-31T23:43:24,307,Ulappasilta,320,Koukkusaarentie,996,417
2021-07-31T23:36:17,2021-07-31T23:42:07,307,Ulappasilta,320,Koukkusaarentie,1010,345
2021-07-31T23:36:05,2021-07-31T23:49:04,076,Olympiastadion,087,Kustaankatu,2193,774
2021-07-31T23:35:45,2021-07-31T23:48:16,030,Itämerentori,054,Gyldenintie,2636,746
2021-07-31T23:35:44,2021-07-31T23:39:10,368,Pukinmäen liikuntapuisto,369,Pukinmäen asema,520,201
2021-07-31T23:35:41,2021-07-31T23:41:02,625,Suomenlahdentie,641,Komeetankatu,1006,317
2021-07-31T23:35:35,2021-07-31T23:54:11,021,Töölönlahdenkatu,132,Hollolantie,3614,1112
2021-07-31T23:35:19,2021-07-31T23:51:40,022,Rautatientori / länsi,061,Länsisatamankatu,3540,980
2021-07-31T23:35:18,2021-07-31T23:42:32,008,Vanha kirkkopuisto,015,Ritarikatu,1323,430
2021-07-31T23:35:13,2021-07-31T23:43:38,621,Hauenkalliontie,583,Haukilahdensolmu,1345,501
2021-07-31T23:35:12,2021-07-31T23:45:30,023,Kiasma,075,Korjaamo,3034,614
2021-07-31T23:35:11,2021-07-31T23:49:39,021,Töölönlahdenkatu,061,Länsisatamankatu,2983,866
2021-07-31T23:34:49,2021-07-31T23:44:17,039,Ooppera,024,Mannerheimintie,1611,564
2021-07-31T23:34:46,2021-07-31T23:37:46,145,Pohjolankatu,146,Pohjolanaukio,722,176
2021-07-31T23:34:46,2021-07-31T23:40:17,024,Mannerheimintie,012,Kanavaranta,1129,327
2021-07-31T23:34:42,2021-07-31T23:46:19,019,Rautatientori / itä,062,Välimerenkatu,2564,692
2021-07-31T23:34:30,2021-07-31T23:48:58,205,Ilmalan asema,218,Pohjois-Haagan asema,3789,864
2021-07-31T23:34:30,2021-07-31T23:39:02,113,Pasilan asema,131,Elimäenkatu,980,269
2021-07-31T23:34:11,2021-07-31T23:49:58,071,Hietaniemenkatu,026,Kamppi (M),1547,941
2021-07-31T23:34:09,2021-07-31T23:36:11,078,Messeniuksenkatu,077,Nordenskiöldinaukio,319,124
2021-07-31T23:34:01,2021-07-31T23:37:12,561,Koivu-Mankkaa,571,Tapiolan urheilupuisto,692,187
2021-07-31T23:34:00,2021-07-31T23:37:57,366,Tilketori,368,Pukinmäen liikuntapuisto,784,232
2021-07-31T23:33:59,2021-07-31T23:58:54,142,Koskelantie,008,Vanha kirkkopuisto,6546,1491
2021-07-31T23:33:58,2021-07-31T23:50:26,162,Leppäsuonaukio,142,Koskelantie,3606,987
2021-07-31T23:33:55,2021-07-31T23:53:00,753,Linnuntie,214,Valimon asema,4608,1140
2021-07-31T23:33:43,2021-08-01T00:02:14,112,Rautatieläisenkatu,377,Paloheinän maja,6516,1706
2021-07-31T23:33:36,2021-07-31T23:39:00,387,Kauppakeskus Kaari,387,Kauppakeskus Kaari,612,320
2021-07-31T23:33:35,2021-07-31T23:50:30,056,Luoteisväylä,028,Lastenlehto,4235,1011
